Raison sociale;SIRET;Code NAF;Libellé NAF;Région;Date de labellisation;Date de fin de labellisation;Univers;geolocetablissement
REVOL;32109350200045;23.70Z;Taille, façonnage et finissage de pierres (23.70Z);AUVERGNE-RHÔNE-ALPES;2020-10-01;2025-09-29;Ameublement et Décoration;45.544645, 3.783821
GOMET GRANIT;72450003800042;23.70Z;Taille, façonnage et finissage de pierres (23.70Z);AUVERGNE-RHÔNE-ALPES;2021-07-25;2026-07-23;Architecture et Patrimoine Bâti;45.491182, 4.524472
H. DARTIGALONGUE ET FILS;39692046400015;46.34Z;Commerce de gros (commerce interentreprises) de boissons (46.34Z);OCCITANIE;2022-02-15;2027-02-13;Gastronomie;43.757325, -0.033895
LA FEUILLE D OR;44459277800013;18.14Z;Reliure et activités connexes (18.14Z);ILE-DE-FRANCE;2022-03-15;2027-03-13;Culture et Communication;48.878834, 2.344754
BY DAHINDEN;50160093600014;74.20Z;Activités photographiques (74.20Z);ILE-DE-FRANCE;2022-03-22;2027-03-20;Culture et Communication;48.864634, 2.347834
NV EQUIPMENT;30944638300049;13.92Z;Fabrication d’articles textiles, sauf habillement (13.92Z);PAYS-DE-LA-LOIRE;2022-04-08;2027-04-06;Loisirs et Transports;46.690207, -1.905782
SARL CONFITURE HERBIN;41511870200026;46.38B;Commerce de gros (commerce interentreprises) alimentaire spécialisé divers;PROVENCE-ALPES-COTE D'AZUR;2022-06-21;2027-06-19;Gastronomie;50.714937675747954, 3.166047979609757
AJBIAIS;47957603500014;13.99Z;Fabrication d’autres textiles n.c.a. (13.99Z);AUVERGNE-RHÔNE-ALPES;2022-07-06;2027-07-04;Mode et beauté;45.429567, 4.374546
ATELIER MONDINEU;32878109100017;96.09Z;Autres services personnels n.c.a. (96.09Z);ILE-DE-FRANCE;2022-11-02;2027-10-31;Ameublement et Décoration;48.863097, 2.358969
MANUFACT ORGUES MUHLEISEN G. WALTHER ASS;60850093000029;32.20Z;Fabrication d’instruments de musique (32.20Z);GRAND-EST;2023-03-03;2028-02-29;Culture et Communication;48.485143, 7.726958
LA MAILLE AU PERSONNEL;51996679000015;13.91Z;Fabrication d’étoffes à mailles (13.91Z);OCCITANIE;2023-03-31;2028-03-28;Mode et beauté;43.71663, 2.318486
DELISLE;57206122400018;27.40Z;Fabrication d’appareils d’éclairage électrique (27.40Z);ILE-DE-FRANCE;2023-06-15;2028-06-12;Ameublement et Décoration;48.858385, 2.363856
RENNOTTE ETIRAGE;87891413400027;24.31Z;Étirage à froid de barres (24.31Z);ILE-DE-FRANCE;2023-07-12;2028-07-09;Ameublement et Décoration;48.87763227219669, 2.311875611218831
DAUCALIS;50894074900023;43.32A;Travaux de menuiserie bois et PVC (43.32A);PAYS-DE-LA-LOIRE;2023-10-27;2028-10-24;Architecture et Patrimoine Bâti;47.255286, -0.90196
CUIRS DU FUTUR;40169500200014;15.11Z;"Apprêt et tannage des cuirs ; préparation et teinture des fourrures (15.11Z)";OCCITANIE;2023-11-14;2028-11-11;Equipements Industriels, Médicaux, Mécaniques;43.774292, 1.992077
Filature de Rougnat;49376518400012;13.10Z;Préparation de fibres textiles et filature (13.10Z);NOUVELLE AQUITAINE;2023-11-15;2028-11-12;Equipements Industriels, Médicaux, Mécaniques;46.045503335335844, 2.516729773882037
PAPETERIES DE MONTSEGUR;62298032400017;17.12Z;Fabrication de papier et de carton (17.12Z);AUVERGNE-RHÔNE-ALPES;2023-12-08;2028-12-05;Equipements Industriels, Médicaux, Mécaniques;44.364034, 4.886428
BRIOTTET;01565028600014;11.01Z;Production de boissons alcooliques distillées (11.01Z);BOURGOGNE-FRANCHE-COMTÉ;2023-12-19;2028-12-16;Gastronomie;47.317814, 5.044717
TOITURES DE FRANCHE-COMTE;42288737200015;43.91B;Travaux de couverture par éléments (43.91B);BOURGOGNE-FRANCHE-COMTÉ;2023-12-19;2028-12-16;Architecture et Patrimoine Bâti;47.434933, 6.112224
ETS DESBOURDES;59202818700017;25.61Z;Traitement et revêtement des métaux (25.61Z);ILE-DE-FRANCE;2023-12-20;2028-12-17;Mode et beauté;48.86681, 2.37622
ETS ALBOUY ET CIE;71642070800027;13.10Z;Préparation de fibres textiles et filature (13.10Z);OCCITANIE;2024-01-08;2029-01-05;Equipements Industriels, Médicaux, Mécaniques;43.584041, 2.216156
SARL GUREAK;80954976900044;15.20Z;Fabrication de chaussures (15.20Z);NOUVELLE AQUITAINE;2024-04-12;2029-04-10;Mode et beauté;43.230134, 2.422944
FONDERIES FRAISSE;99625011400013;24.53Z;Fonderie de métaux légers;NOUVELLE AQUITAINE;2024-04-12;2029-04-10;Equipements Industriels, Médicaux, Mécaniques;45.951262, 2.160914
VILAC SA;64715050700034;32.40Z;Fabrication de jeux et jouets (32.40Z);BOURGOGNE-FRANCHE-COMTÉ;2024-07-15;2029-07-13;Loisirs et Transports;46.45065, 5.724656
GIRAUDET;33990964000015;10.85Z;Fabrication de plats préparés;AUVERGNE-RHÔNE-ALPES;2024-09-02;2029-08-31;Gastronomie;46.216684, 5.220307
ATELIER TOURNILLON;47787255000017;95.24Z;Réparation de meubles et d'équipements du foyer;PROVENCE-ALPES-COTE D'AZUR;2024-11-28;2029-11-26;Ameublement et Décoration;44.251819, 4.884121
ATELIERS COURAGEUX;48026717800014;23.19Z;Fabrication et façonnage d'autres articles en verre, y compris verre technique;HAUTS-DE-FRANCE;2025-02-26;2030-02-24;Architecture et Patrimoine Bâti;49.60915158760617, 2.076705096179295
CHARPENTE SERGE GOACOLOU;34037327300036;43.91B;Travaux de couverture par éléments;NOUVELLE AQUITAINE;2025-02-26;2030-02-24;Architecture et Patrimoine Bâti;44.32629654981592, 0.0729306824437761
FR METAL;82129166300036;43.32B;Travaux de menuiserie métallique et serrurerie;ILE-DE-FRANCE;2025-03-21;2030-03-19;Architecture et Patrimoine Bâti;48.825445802691995, 2.6359645809373835
FAROL;40908141100020;25.71Z;Fabrication de coutellerie;NOUVELLE AQUITAINE;2025-04-02;2030-03-31;Arts de la table;46.161549453016804, -1.2020274134929632
BOULANGERIE DU POINT DU JOUR;50804000300024;10.71C;Boulangerie et boulangerie-pâtisserie;ILE-DE-FRANCE;2025-04-15;2030-04-13;Gastronomie;48.81296153508629, 2.2129642405163255
TAPISSIER SEIGNEUR;85147371000065;31.09A;Fabrication de sièges d’ameublement d’intérieur (31.09A);ILE-DE-FRANCE;2025-05-09;2030-05-07;Ameublement et Décoration;48.85989, 2.44497
Stephane Henri  (CAMPANA);42036479600045;2341Z;Fabrication d'articles céramiques à usage domestique ou ornemental;PROVENCE-ALPES-COTE D'AZUR;2025-05-12;2030-05-10;Architecture et Patrimoine Bâti;43.2887798883097, 5.552210910898803
VRANKEN-POMMERY PRODUCTION;33728091100120;11.02A;Fabrication de vins effervescents;GRAND-EST;2025-05-22;2030-05-20;Gastronomie;49.24344144003515, 4.049859768842227
PROCEDES CHENEL INTERNATIONAL;35167941000024;82.99Z;Autres activités de soutien aux entreprises n.c.a.;ILE-DE-FRANCE;2025-06-26;2030-06-24;Ameublement et Décoration;48.822666409027754, 2.295672026312363
LUTTON;89101680000015;23.32Z;Fabrication de briques, tuiles et produits de construction, en terre cuite;Pays de la Loire;2025-07-29;2030-07-27;Equipements Industriels, Médicaux, Mécaniques;46.769681289324275, -1.303860958029378
Mauviel 1830;40705010300016;25.99A;Fabrication d’articles métalliques ménagers (25.99A);NORMANDIE;2019-08-30;2024-08-27;Arts de la table;48.84567572677846, -1.2142080209021957
Philippe Berne Luthier;42350579100024;32.20Z;Fabrication d’instruments de musique (32.20Z);AUVERGNE-RHÔNE-ALPES;2019-08-30;2024-08-27;Culture et Communication;45.22679162907249, 4.556739582395969
ATELIER BETTENFELD-ROSENBLUM;52837796300012;15.12Z;Fabrication d’articles de voyage, de maroquinerie et de sellerie (15.12Z);ILE-DE-FRANCE;2019-12-23;2024-12-20;Ameublement et Décoration;48.850637, 2.386625
L'ATELIER PIERRE-YVES LE FLOC'H;79140282900018;31.09B;Fabrication d’autres meubles et industries connexes de l’ameublement (31.09B);BRETAGNE;2019-12-23;2024-12-20;Ameublement et Décoration;47.655432, -2.713689
CELLUX;34849764500013;27.40Z;Fabrication d’appareils d’éclairage électrique (27.40Z);AUVERGNE-RHÔNE-ALPES;2020-02-20;2025-02-17;Ameublement et Décoration;45.436885, 4.34761
FEUGIER ENVIRONNEMENT;49970222300011;28.22Z;Fabrication de matériel de levage et de manutention (28.22Z);AUVERGNE-RHÔNE-ALPES;2020-07-03;2025-07-01;Equipements Industriels, Médicaux, Mécaniques;45.852746, 5.415548
GROUPE ADM;80045271600015;43.32A;Travaux de menuiserie bois et PVC (43.32A);PAYS-DE-LA-LOIRE;2020-07-03;2025-07-01;Architecture et Patrimoine Bâti;47.291173, -2.291092
FERME DES PEUPLIERS;32528213500012;46.33Z;Commerce de gros (commerce interentreprises) de produits laitiers, œufs, huiles et matières grasses ,comestibles (46.33Z);NORMANDIE;2020-07-03;2025-07-01;Gastronomie;49.308059, 1.286565
MATIÈRES À PENSER;42436333100036;74.10Z;Activités spécialisées de design (74.10Z);OCCITANIE;2020-07-03;2025-07-01;Culture et Communication;43.366451, 1.449201
AGRO'NOVAE INDUSTRIE - LES COMTES DE PROVENCE;33863506300047;10.39B;Transformation et conservation de fruits;PROVENCE-ALPES-COTE D'AZUR;2020-07-30;2025-07-28;Gastronomie;44.033078, 5.959075
ATELIER MAX CAPDEBARTHES;41515452500018;15.12Z;Fabrication d’articles de voyage, de maroquinerie et de sellerie (15.12Z);OCCITANIE;2020-10-01;2025-09-29;Mode et beauté;44.223747, 2.318298
LA ZINGUERIE D'ART;80331392300010;43.91B;Travaux de couverture par éléments (43.91B);PAYS-DE-LA-LOIRE;2021-07-06;2026-07-04;Architecture et Patrimoine Bâti;47.639754, 0.15992
ATELIER SICARD MENUISERIE;41090599600022;16.22Z;Fabrication de parquets assemblés (16.22Z);HAUTS-DE-FRANCE;2021-09-27;2026-09-25;Architecture et Patrimoine Bâti;49.203271, 2.599117
ATELIER FRANCE BRONZE;50890700300018;24.54Z;Fonderie d’autres métaux non ferreux (24.54Z);BOURGOGNE-FRANCHE-COMTÉ;2022-04-04;2027-04-02;Culture et Communication;47.801728, 6.380431
PUYCHOC;44538907500026;10.82Z;Fabrication de cacao, chocolat et de produits de confiserie;PROVENCE-ALPES-COTE D'AZUR;2022-06-21;2027-06-19;Gastronomie;43.769038, -0.580373
ETS GAIO;67725020100022;31.02Z;Fabrication de meubles de cuisine (31.02Z);BOURGOGNE-FRANCHE-COMTÉ;2022-07-29;2027-07-27;Ameublement et Décoration;47.878982, 6.603917
ETABLISSEMENTS A. MEYNIER ET FILS;64635031400019;32.99Z;Autres activités manufacturières n.c.a. (32.99Z);BOURGOGNE-FRANCHE-COMTÉ;2022-07-29;2027-07-27;Mode et beauté;46.385105, 5.778241
ARCA;51436558400036;31.09B;Fabrication d’autres meubles et industries connexes de l’ameublement (31.09B);ILE-DE-FRANCE;2022-11-02;2027-10-31;Ameublement et Décoration;48.83326, 2.693649
BREIER LA COMPAGNIE DES PALMES;43460661200027;32.30Z;Fabrication d’articles de sport (32.30Z);BRETAGNE;2023-04-05;2028-04-02;Loisirs et Transports;47.655962, -2.714164
CONFISERIE DU ROY RENE;62162092100075;10.82Z;Fabrication de cacao, chocolat et de produits de confiserie;PROVENCE-ALPES-COTE D'AZUR;2023-05-09;2028-05-06;Gastronomie;43.580978, 5.378194
SAS LES USINES DE LA VINCENDRIE;32578090600021;20.41Z;Fabrication de savons, détergents et produits d’entretien;NOUVELLE AQUITAINE;2023-06-07;2028-06-04;Mode et beauté;47.14063554547967, 2.212608927257096
FORGE DE LAGUIOLE;34080255200026;25.71Z;Fabrication de coutellerie (25.71Z);OCCITANIE;2023-07-11;2028-07-08;Arts de la table;44.68414, 2.852641
HAVILAND;34799433700090;23.41Z;Fabrication d’articles céramiques à usage domestique ou ornemental;ILE-DE-FRANCE;2023-07-12;2028-07-09;Arts de la table;48.867253, 2.303535
ENTREPRISE ROUVEURE ET MARQUEZ;96450314800022;43.31Z;Travaux de plâtrerie (43.31Z);AUVERGNE-RHÔNE-ALPES;2023-08-16;2028-08-13;Architecture et Patrimoine Bâti;45.773434, 4.927711
BARTHELEMY ART;44534146400011;24.54Z;Fonderie d’autres métaux non ferreux (24.54Z);AUVERGNE-RHÔNE-ALPES;2024-01-09;2029-01-06;Equipements Industriels, Médicaux, Mécaniques;44.733264, 5.005073
RELICENTRE;49111385800048;18.14Z;Reliure et activités connexes (18.14Z);ILE-DE-FRANCE;2024-03-18;2029-03-16;Culture et Communication;45.491476377259644, 5.4759396382359045
BIGNON - DERVAUX 1878;33095419900015;13.92Z;Fabrication d'articles textiles, sauf habillement;AUVERGNE-RHÔNE-ALPES;2024-06-17;2029-06-15;Ameublement et Décoration;46.167164, 4.366803
ENO;35291503700027;27.52Z;Fabrication d'appareils ménagers non électriques;NOUVELLE AQUITAINE;2024-10-28;2029-10-26;Equipements Industriels, Médicaux, Mécaniques;46.324358, -0.44758
LA MAROQUINERIE DU SUD-OUEST;40323043600129;15.12Z;Fabrication d'articles de voyage, de maroquinerie et de sellerie;NOUVELLE AQUITAINE;2025-04-02;2030-03-31;Mode et beauté;45.8809004182493, 0.9053696807909946
M D SERTI;43031311400026;32.12Z;Fabrication d’articles de joaillerie et bijouterie;ILE-DE-FRANCE;2025-05-09;2030-05-07;Mode et beauté;48.86958355676873, 2.335067237969932
SOC FREDERIC BUTET;33439844300039;15.12Z;Fabrication d'articles de voyage, de maroquinerie et de sellerie;PAYS-DE-LA-LOIRE;2025-06-24;2030-06-22;Mode et beauté;47.26638206235101, -0.11727214960750416
BELLES ROCHES COUTURE;40867680700022;14.13Z;Fabrication de vêtements de dessus;PAYS-DE-LA-LOIRE;2025-03-25;2030-03-23;Mode et beauté;46.925741670044694, -0.8451370616713291
Société des Ets F. Pfirter;65203159200015;20.41Z;Fabrication de savons, détergents et produits d’entretien (20.41Z);ILE-DE-FRANCE;2019-08-30;2024-08-27;Mode et beauté;48.80380693177556, 2.2973659520933
CBR Levage;68682038200097;28.22Z;Fabrication de matériel de levage et de manutention (28.22Z);HAUTS-DE-FRANCE;2019-08-30;2024-08-27;Equipements Industriels, Médicaux, Mécaniques;50.58084012564875, 3.1231441539171927
AUZIER CHABERNAC;45880092700030;10.82Z;Fabrication de cacao, chocolat et de produits de confiserie;OCCITANIE;2020-02-20;2025-02-17;Gastronomie;43.682004, 3.810731
MANUFACTURE DES TENTES CABANON;51164507900027;13.92Z;Fabrication d’articles textiles, sauf habillement (13.92Z);HAUTS-DE-FRANCE;2020-02-20;2025-02-17;Loisirs et Transports;51.008092, 2.344814
FORGE ESNAULT SARL;48932863300016;25.71Z;Fabrication de coutellerie (25.71Z);PAYS-DE-LA-LOIRE;2020-02-20;2025-02-17;Arts de la table;46.978504, -1.154919
FOCAL JMLAB;34439430900035;26.40Z;Fabrication de produits électroniques grand public (26.40Z);AUVERGNE-RHÔNE-ALPES;2020-03-16;2025-03-14;Culture et Communication;45.460248, 4.424095
CONSTRUCTIONS NAVALES RABA SARL;45062733600016;30.12Z;Construction de bateaux de plaisance (30.12Z);NOUVELLE AQUITAINE;2020-03-16;2025-03-14;Loisirs et Transports;44.638533, -1.147571
BUTI PATRICK;38525136800028;90.03A;Création artistique relevant des arts plastiques (90.03A);PAYS-DE-LA-LOIRE;2020-03-16;2025-03-14;Culture et Communication;46.767063, -1.509818
MULTIFORM;42385180700010;25.50B;Découpage, emboutissage (25.50B);NORMANDIE;2020-07-30;2025-07-28;Equipements Industriels, Médicaux, Mécaniques;48.846311, -1.218539
ETS G. PIVAUDRAN;57165012600014;25.92Z;Fabrication d’emballages métalliques légers (25.92Z);OCCITANIE;2020-07-30;2025-07-28;Mode et beauté;44.893767, 1.474598
LE BÂTIMENT MENUISIER;41178651000015;43.32A;Travaux de menuiserie bois et PVC (43.32A);GRAND-EST;2020-10-01;2025-09-29;Architecture et Patrimoine Bâti;49.218325, 3.990466
CHRISTOPHE BOUSQUIE;48123184300014;31.09B;Fabrication d’autres meubles et industries connexes de l’ameublement;OCCITANIE;2022-04-01;2027-03-30;Architecture et Patrimoine Bâti;44.483772, 3.5221
FONDERIE DE SAINT-SAUVEUR;30084731600027;24.54Z;Fonderie d’autres métaux non ferreux (24.54Z);BOURGOGNE-FRANCHE-COMTÉ;2022-04-04;2027-04-02;Equipements Industriels, Médicaux, Mécaniques;47.801728, 6.380431
HARPES CAMAC-CAMAC HARPS';33151658300019;32.20Z;Fabrication d’instruments de musique (32.20Z);PAYS-DE-LA-LOIRE;2022-04-08;2027-04-06;Culture et Communication;47.446867, -1.342937
ESCOURBIAC;32594348800016;18.12Z;Autre imprimerie (labeur) (18.12Z);OCCITANIE;2022-04-11;2027-04-09;Equipements Industriels, Médicaux, Mécaniques;43.758818, 1.957289
WEREY PLATRES ET STAFF;34238607500028;43.31Z;Travaux de plâtrerie (43.31Z);GRAND-EST;2022-04-14;2027-04-12;Architecture et Patrimoine Bâti;48.045508, 7.178406
ESTEVES CELESTINO;33948101200070;25.71Z;Fabrication de coutellerie;GUYANE;2022-05-03;2027-05-01;Arts de la table;4.866734, -52.278926
BIARD-ROY;57050527100041;33.13Z;Réparation de matériels électroniques et optiques (33.13Z);NORMANDIE;2022-06-22;2027-06-20;Architecture et Patrimoine Bâti;49.597694, 0.973267
HENITEX INTERNATIONAL;34297348400054;13.91Z;Fabrication d’étoffes à mailles;AUVERGNE-RHÔNE-ALPES;2022-07-06;2027-07-04;Mode et beauté;46.055611, 4.047076
HANDYSOIE;53820335700016;14.19Z;Fabrication d’autres vêtements et accessoires (14.19Z);AUVERGNE-RHÔNE-ALPES;2022-07-06;2027-07-04;Mode et beauté;45.522933, 4.918719
CHAUDROLUX;44379910100011;25.11Z;Fabrication de structures métalliques et de parties de structures (25.11Z);NORMANDIE;2022-10-06;2027-10-04;Ameublement et Décoration;48.845711, -1.203892
EMPREINTE;41777943600043;18.12Z;Autre imprimerie (labeur) (18.12Z);OCCITANIE;2022-12-15;2027-12-13;Equipements Industriels, Médicaux, Mécaniques;43.551532, 1.594408
Eurl Jacques Stéphane;39481674800047;43.91B;Travaux de couverture par éléments (43.91B);NORMANDIE;2023-01-24;2028-01-22;Architecture et Patrimoine Bâti;49.358727, 0.26208
CHOCOLATERIE A. MORIN;50077744600013;10.82Z;Fabrication de cacao, chocolat et de produits de confiserie;AUVERGNE-RHÔNE-ALPES;2023-03-27;2028-03-24;Gastronomie;44.433446, 4.702712
ATELIER AUDER D'ORNEMENTS;49899874900010;25.99B;Fabrication d’autres articles métalliques (25.99B);PAYS-DE-LA-LOIRE;2023-03-28;2028-03-25;Architecture et Patrimoine Bâti;47.49614, -0.047906
ARC FRANCE;50431303200022;23.13Z;Fabrication de verre creux (23.13Z);HAUTS-DE-FRANCE;2023-05-23;2028-05-20;Arts de la table;50.730682, 2.301246
PORCELAINES JL COQUET;87814547300020;23.41Z;Fabrication d’articles céramiques à usage domestique ou ornemental (23.41Z);ILE-DE-FRANCE;2023-06-15;2028-06-12;Arts de la table;48.866012, 2.295895
LEJAY LAGOUTE;01565003900041;11.01Z;Production de boissons alcooliques distillées (11.01Z);BOURGOGNE-FRANCHE-COMTÉ;2023-06-22;2028-06-19;Gastronomie;47.343052, 5.064329
CHARLES PARIS;43763098100052;27.40Z;Fabrication d’appareils d’éclairage électrique (27.40Z);ILE-DE-FRANCE;2023-09-11;2028-09-08;Ameublement et Décoration;48.910731, 2.391302
FOURNIVAL ALTESSE;48757746200012;32.91Z;Fabrication d’articles de brosserie (32.91Z);HAUTS-DE-FRANCE;2023-11-20;2028-11-17;Mode et beauté;49.314577, 2.322541
MANUFACTURE TONNELIERE LA GRANGE;82052764600013;16.24Z;Fabrication d’emballages en bois (16.24Z);BOURGOGNE-FRANCHE-COMTÉ;2023-12-19;2028-12-16;Equipements Industriels, Médicaux, Mécaniques;47.203009, 3.179878
SELANEUF;31884361200017;15.12Z;Fabrication d’articles de voyage, de maroquinerie et de sellerie (15.12Z);ILE-DE-FRANCE;2023-12-20;2028-12-17;Ameublement et Décoration;45.029568835460026, 5.047637833439949
ETABLISSEMENTS CRAMBES;84555005200011;14.19Z;Fabrication d'autres vêtements et accessoires;OCCITANIE;2024-03-25;2029-03-23;Mode et beauté;44.164131, 1.54536
LAURENT PLET;47841196000030;33.19Z;Réparation d’autres équipements (33.19Z);GRAND-EST;2024-05-02;2029-04-30;Culture et Communication;48.292467, 3.912755
ENTREPRISE HERIAU;30938222400017;43.91B;Travaux de couverture par éléments (43.91B);BRETAGNE;2024-08-21;2029-08-19;Architecture et Patrimoine Bâti;48.108054, -1.324233
DUMAINE SIEGES;34991267500023;31.01Z;Fabrication de meubles de bureau et de magasin;NOUVELLE AQUITAINE;2025-04-02;2030-03-31;Ameublement et Décoration;45.81616204837775, 0.44661185410309
QUARTZ ALLIANCE;51787058000027;23.19Z;Fabrication et façonnage d'autres articles en verre, y compris verre technique;ILE-DE-FRANCE;2025-04-15;2030-04-13;Architecture et Patrimoine Bâti;46.228032, -1.430271
FG - FERRONNERIE GAUDIN;37965679600024;25.99B;Fabrication d'autres articles métalliques;PROVENCE-ALPES-COTE D'AZUR;2025-06-30;2030-06-28;Ameublement et Décoration;43.28546693767209, 5.412466682297246
SERRES ET FERRONNERIES D'ANTAN R HAGER;38768601700014;43.32B;Travaux de menuiserie métallique et serrurerie;Centre-Val de Loire;2025-07-04;2030-07-02;"Architecture et Patrimoine Bâti;Autre";47.87591969239736, 0.8311082971572711
CHANTIER BORG;94926343800010;30.11Z;Construction de navires et de structures flottantes;PROVENCE-ALPES-COTE D'AZUR;2025-07-23;2030-07-21;"Loisirs et Transports;Nautisme";43.29443723310717, 5.355749170241577
Erel Chaussures de France;82274002300020;15.20Z;Fabrication de chaussures (15.20Z);NOUVELLE AQUITAINE;2019-08-30;2024-08-27;Mode et beauté;45.82797779569396, 1.2777980094221055
